buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
3000.0,60.0,100.0,0.0,53.0875635764198,6000,3000.0,183.62991499900818
3050.0,61.0,100.0,0.0,3.779054227867283,6100,3050.0,210.09156274795532
3100.0,62.0,100.0,0.0,59.480124102225794,6200,3100.0,211.77279710769653
3150.0,63.0,100.0,0.0,56.00616583994347,6300,3150.0,213.5583152770996
3200.0,64.0,100.0,0.0,58.83709352357725,6400,3200.0,215.25792384147644
3250.0,65.0,100.0,0.0,59.112178015950676,6500,3250.0,216.94962358474731
3300.0,66.0,100.0,0.0,59.663040628666884,6600,3300.0,218.62570309638977
3350.0,67.0,100.0,11.0,57.26845708877224,6700,3350.0,220.37186527252197
3400.0,68.0,100.0,0.0,58.63312248933106,6800,3400.0,222.07738637924194
3450.0,69.0,100.0,0.0,46.52072079486326,6900,3450.0,224.226966381073
3500.0,70.0,100.0,0.0,45.95061860672353,7000,3500.0,226.40321588516235
3550.0,71.0,100.0,0.0,58.97011118167453,7100,3550.0,228.0989911556244
3600.0,72.0,100.0,11.0,57.84050994146176,7200,3600.0,229.82788348197937
3650.0,73.0,100.0,14.0,59.44570402692069,7300,3650.0,231.51009130477905
3700.0,74.0,100.0,0.0,58.988033357185614,7400,3700.0,233.20535111427307
3750.0,75.0,100.0,0.0,58.6247878779323,7500,3750.0,234.9111144542694
3800.0,76.0,100.0,0.0,57.97467157669449,7600,3800.0,236.63600635528564
3850.0,77.0,100.0,0.0,56.29413095019995,7700,3850.0,238.41239094734192
3900.0,78.0,100.0,0.0,48.021071868503704,7800,3900.0,240.49481058120728
